Year, Common murre SFI,Common murre NFI,Common murre Mainland,Common murre Total,Brandt's cormorant SFI,Brandt's cormorant NFI,Brandt's cormorant Mainland,Brandt's cormorant ANI,Brandt's cormorant Total,Rhinoceros auklet SFI,Rhinoceros auklet ANI,Rhinoceros auklet TOTAL
1986,56104,23054,24198,103357,6662,22,390,0,7074,NA,NA,0
1987,39195,26213,27101,92508,8074,148,1014,0,9236,500,NA,500
1988,40931,21654,27797,90382,11924,90,800,0,12814,500,NA,500
1989,38028,25436,24448,87912,15220,146,1540,4,16910,516,NA,516
1990,60506,21616,28148,110270,8996,24,1174,0,10194,702,NA,702
1991,35000,18780,16496,70276,12309,67,2367,0,14743,888,NA,888
1992,32400,17385,15270,65055,3593,20,691,100,4403,1074,NA,1074
1993,54977,30759,36188,121924,9438,44,1872,650,12004,1260,112,1372
1994,50616,29328,29891,109834,10850,32,1832,916,13630,1446,176,1622
1995,55492,31699,36282,123472,10402,4,1870,902,13178,1632,190,1822
1996,65400,35092,42247,142739,9741,71,1994,732,12538,1818,196,2014
1997,77564,44492,38951,161007,10324,100,1832,1322,13578,2004,220,2224
1998,52670,28261,24823,105754,5432,24,956,664,7076,2190,164,2354
1999,92284,51494,43383,187161,7848,54,1906,1210,11018,2376,188,2564
2000,97177,50822,46846,194845,7836,116,1836,1576,11364,2562,184,2746
2001,100343,57539,47982,205864,9492,116,2076,1360,13044,2748,212,2960
2002,115659,65727,52858,234245,14518,196,3258,1980,19952,2934,246,3180
2003,115079,64955,48088,228122,13602,196,3158,1938,18894,3120,284,3404
2004,114901,64872,59210,238983,17014,102,4320,3804,25240,3306,248,3554
2005,129485,67196,55702,252383,14874,40,3892,3426,22232,3315,210,3525
2006,173709,92247,79527,345484,23478,96,6344,4958,34876,2712,256,2968
2007,210962,95430,90866,397258,27120,62,9004,5256,41442,2969,216,3185
2008,167306,90894,61575,281734,5839,60,4148,3430,13477,2902,270,3172
2009,167348,90917,80811,339076,1506,20,696,692,2914,3192,248,3440
2010,189249,102815,79800,371864,6192,42,956,462,7652,4018,262,4280
2011,226161,122868,76549,425578,5931,72,2842,2926,11771,4029,236,4265
2012,205324,111548,81507,398379,4162,66,3042,3082,10352,3817,266,4083
2013,232006,114281,88655,434942,8943,24,3786,4012,16765,4877,264,5141
2014,230132,125026,94344,449502,7922,96,3802,3614,15434,5011,296,5307
2015,233219,140000,85190,458409,6602,78,3766,3294,13740,4498,330,4828